Filename,Date
deleted_items_382%2E,04-04-2001 16.36
deleted_items_381%2E,04-04-2001 16.38
deleted_items_380%2E,05-04-2001 12.57
deleted_items_379%2E,05-04-2001 14.22
deleted_items_378%2E,13-04-2001 13.28
deleted_items_377%2E,20-04-2001 15.14
deleted_items_376%2E,24-04-2001 13.15
deleted_items_375%2E,27-04-2001 22.06
settlements_issue_4%2E,01-05-2001 16.00
task_12%2E,02-05-2001 1.28
task_13%2E,02-05-2001 1.28
task_1%2E,02-05-2001 1.28
calender_11%2E,02-05-2001 1.29
calender_10%2E,02-05-2001 1.29
deleted_items_374%2E,22-05-2001 7.18
keep_all_e_mail_1%2E,07-06-2001 20.04
deleted_items_373%2E,13-06-2001 9.05
deleted_items_372%2E,13-06-2001 10.08
deleted_items_371%2E,15-06-2001 6.37
deleted_items_370%2E,18-06-2001 7.31
deleted_items_369%2E,18-06-2001 16.52
deleted_items_368%2E,19-06-2001 11.06
deleted_items_367%2E,19-06-2001 11.10
deleted_items_366%2E,19-06-2001 11.11
deleted_items_365%2E,23-06-2001 11.04
deleted_items_364%2E,25-06-2001 12.32
deleted_items_363%2E,25-06-2001 13.46
deleted_items_362%2E,26-06-2001 8.59
deleted_items_361%2E,26-06-2001 12.07
deleted_items_360%2E,27-06-2001 4.59
deleted_items_359%2E,27-06-2001 6.32
deleted_items_358%2E,27-06-2001 7.14
deleted_items_357%2E,27-06-2001 7.25
deleted_items_356%2E,29-06-2001 8.17
deleted_items_355%2E,02-07-2001 22.10
stuff_19%2E,03-07-2001 14.19
deleted_items_354%2E,05-07-2001 7.21
calender_9%2E,05-07-2001 13.06
deleted_items_353%2E,09-07-2001 10.40
deleted_items_352%2E,09-07-2001 10.52
deleted_items_351%2E,09-07-2001 10.58
deleted_items_350%2E,09-07-2001 11.00
deleted_items_349%2E,09-07-2001 11.20
deleted_items_348%2E,09-07-2001 11.28
deleted_items_347%2E,09-07-2001 11.33
deleted_items_346%2E,09-07-2001 11.37
deleted_items_345%2E,09-07-2001 12.00
deleted_items_344%2E,09-07-2001 12.29
deleted_items_343%2E,10-07-2001 10.18
stuff_18%2E,10-07-2001 14.28
deleted_items_342%2E,11-07-2001 11.18
deleted_items_341%2E,12-07-2001 4.42
deleted_items_340%2E,12-07-2001 12.17
deleted_items_339%2E,13-07-2001 9.12
deleted_items_338%2E,13-07-2001 9.36
deleted_items_337%2E,13-07-2001 11.01
deleted_items_336%2E,13-07-2001 11.05
deleted_items_335%2E,13-07-2001 12.22
deleted_items_334%2E,13-07-2001 12.58
deleted_items_333%2E,13-07-2001 14.27
deleted_items_332%2E,13-07-2001 15.15
deleted_items_331%2E,17-07-2001 7.05
deleted_items_330%2E,17-07-2001 8.30
deleted_items_329%2E,17-07-2001 9.03
deleted_items_328%2E,17-07-2001 10.25
settlements_issue_3%2E,17-07-2001 11.35
deleted_items_327%2E,17-07-2001 11.37
stuff_17%2E,17-07-2001 16.36
stuff_16%2E,17-07-2001 17.44
deleted_items_326%2E,18-07-2001 5.53
deleted_items_325%2E,18-07-2001 9.01
deleted_items_324%2E,18-07-2001 9.50
deleted_items_323%2E,18-07-2001 14.07
deleted_items_322%2E,19-07-2001 12.23
deleted_items_321%2E,19-07-2001 14.01
stuff_15%2E,20-07-2001 10.41
deleted_items_320%2E,23-07-2001 5.13
deleted_items_319%2E,23-07-2001 9.01
deleted_items_318%2E,24-07-2001 9.26
travel_4%2E,24-07-2001 9.33
deleted_items_317%2E,24-07-2001 11.19
stuff_14%2E,24-07-2001 14.45
deleted_items_316%2E,25-07-2001 8.34
deleted_items_315%2E,25-07-2001 9.45
deleted_items_314%2E,25-07-2001 11.01
deleted_items_313%2E,25-07-2001 11.30
travel_3%2E,27-07-2001 7.46
calender_8%2E,27-07-2001 10.19
calender_7%2E,27-07-2001 10.19
deleted_items_312%2E,27-07-2001 11.24
deleted_items_311%2E,31-07-2001 7.06
deleted_items_310%2E,31-07-2001 8.39
scheduling_29%2E,01-08-2001 7.55
travel_2%2E,01-08-2001 9.01
scheduling_28%2E,01-08-2001 11.51
scheduling_27%2E,01-08-2001 13.43
calender_6%2E,02-08-2001 12.04
deleted_items_309%2E,03-08-2001 7.09
deleted_items_308%2E,03-08-2001 9.17
deleted_items_307%2E,03-08-2001 13.50
scheduling_26%2E,03-08-2001 14.02
scheduling_25%2E,03-08-2001 14.22
deleted_items_306%2E,03-08-2001 17.42
scheduling_24%2E,06-08-2001 7.09
scheduling_23%2E,06-08-2001 11.09
scheduling_22%2E,06-08-2001 15.12
